ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,absLFC,ENSG_base
ENSG00000269012.2,0.859820336,1.613911053,0.753339377,0.005245966,0.014163748,KRT18P40,1.613911053,ENSG00000269012
ENSG00000257924.1,2.570688272,1.333160756,0.60268201,0.005300689,0.014291852,LINC02416,1.333160756,ENSG00000257924
ENSG00000222038.4,3.746090994,3.150282319,0.456032072,0.005307442,0.014308096,POTEJ,3.150282319,ENSG00000222038
ENSG00000276740.1,2.915728093,1.268452294,0.568654582,0.005333148,0.014367535,AL445649.1,1.268452294,ENSG00000276740
ENSG00000200525.1,2.127060889,1.244398243,0.557159569,0.005344434,0.014394974,RNU6-1209P,1.244398243,ENSG00000200525
ENSG00000261359.2,0.936413348,1.406556838,0.639721516,0.005350117,0.014407321,PYCARD-AS1,1.406556838,ENSG00000261359
ENSG00000268038.3,4.270904633,1.192092153,0.747968559,0.005350491,0.01440734,LINC01785,1.192092153,ENSG00000268038
ENSG00000189013.14,7.098654935,1.038981874,0.433740386,0.005368477,0.014451809,KIR2DL4,1.038981874,ENSG00000189013
ENSG00000226789.1,1.250983378,1.038849677,0.430112978,0.00536984,0.014454487,WBP11P2,1.038849677,ENSG00000226789
ENSG00000276747.1,1.389167564,1.29151682,0.604912616,0.005381696,0.014484416,PADI6,1.29151682,ENSG00000276747
ENSG00000253562.1,1.067594794,1.252504242,0.545715207,0.005391926,0.014508968,AC107909.2,1.252504242,ENSG00000253562
ENSG00000217653.1,1.159749273,1.203521452,0.529356052,0.005393143,0.014511248,PIMREGP3,1.203521452,ENSG00000217653
