"symbol","HR","HR_lower","HR_upper","pvalue","padj"
"CCDC78",0.999505160383483,0.998589050648512,1.00042211056132,0.290085654795652,0.655959453637015
"ONECUT2",1.00035745755079,0.999684399742668,1.00103096850874,0.297985757906704,0.670095349520597
"CCNF",1.00021674017149,0.99980717160898,1.00062647651277,0.299691056210509,0.670095349520597
"CTXN1",0.999794808510631,0.999406618773967,1.00018314902804,0.300341541119789,0.670095349520597
"FAM83D",1.0001715518587,0.999843772390644,1.00049943878292,0.305024671810575,0.677532678092516
"CDH11",1.00003579467215,0.999966560390248,1.00010503374759,0.310916905464358,0.681297511743629
"IER5L",0.999799811792092,0.999410973460684,1.00018880140786,0.313087834715745,0.681297511743629
"CENPK",1.00103428032306,0.999018977851709,1.00305364822674,0.314710789054815,0.681297511743629
"ACOT7",1.00019443871217,0.99981438166267,1.00057464023185,0.316038266638639,0.681297511743629
"CRABP2",1.00000506018551,0.999995139513683,1.00001498095577,0.317452704773796,0.681297511743629
"SDSL",0.999565981323403,0.998715376797005,1.00041731030852,0.317589423492278,0.681297511743629
"RAD51AP1",1.00025472201273,0.999752161904169,1.00075753475056,0.320572357659887,0.681297511743629
"COL5A1",1.00000887667967,0.999991348528713,1.00002640513787,0.320920095754834,0.681297511743629
"PYCR1",1.00005003433619,0.999951000700127,1.00014907778039,0.322076432166704,0.681297511743629
"IQGAP3",1.00009964294255,0.999902174451638,1.00029715043109,0.322686212647262,0.681297511743629
"PAX1",0.998574772049725,0.99575027699746,1.00140727892231,0.323698593198127,0.681297511743629
"CACNA1E",1.00394803278384,0.996109451973827,1.01184829692493,0.324502044481991,0.681297511743629
"TMEM97",1.00011144552967,0.999888928344786,1.00033401223394,0.326309738361076,0.681297511743629
"ASPHD2",0.99854570528298,0.995644992056675,1.00145486945042,0.326838817215133,0.681297511743629
"PCDH17",1.00050351409866,0.999496776566326,1.00151126566173,0.327077092291264,0.681297511743629
"CEACAM6",1.00000440216226,0.999995533384887,1.00001327101828,0.330623926917606,0.685839716167926
"EME1",0.999337667775619,0.997993805509393,1.00068333963804,0.334538300163729,0.691103813506964
"SLC7A5",1.00001679665761,0.999982505042835,1.00005108944832,0.337046323619223,0.693280540541374
"ADAM8",0.999771283950806,0.999303236640125,1.00023955048252,0.338354048670591,0.693280540541374
"OIP5",1.00109580451815,0.998832693718461,1.00336404297387,0.342892230313335,0.697542428406591
"PAFAH1B3",0.999901791054525,0.999698742148657,1.00010488120168,0.34321310720404,0.697542428406591
"ZIC1",0.999396445081435,0.998143739635569,1.00065072271663,0.345457891777628,0.699273635775682
"SPC24",1.00286630249847,0.996883261895984,1.00888525179379,0.348501935979976,0.702602296634329
"IER3",0.999971231276174,0.999910713105458,1.00003175310967,0.351505547383927,0.70422412444954
"SPOCD1",0.999304283665116,0.997834000795553,1.00077673295887,0.354227032360945,0.70422412444954
"CDC25C",1.00076282664713,0.999142096120823,1.00238618619633,0.356477770253123,0.70422412444954
"AIM2",0.998850708254276,0.996409883544195,1.00129751205526,0.356938316670935,0.70422412444954
"KIF11",1.00011654904589,0.99986729271815,1.0003658675106,0.359460761082138,0.70422412444954
"BUB1",1.00011450735734,0.999868925418357,1.00036014961471,0.360815928914696,0.70422412444954
"PITX1",1.00008447990671,0.999902929321805,1.00026606345544,0.361782041870852,0.70422412444954
"FANCI",1.00008512758171,0.999901792406393,1.00026849637212,0.3628116023215,0.70422412444954
